,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
515,2017,East Midlands,F,   50-99,6,95,1472
516,2017,East Midlands,F,   100-199,4,25,831
517,2017,East Midlands,F,   200-249,1,5,278
518,2017,East Midlands,F,   250-499,3,10,486
519,2017,East Midlands,F,   500 or more,14,10,6303
520,2017,East Midlands,G,   1,5,2070,*
521,2017,East Midlands,G,   2-4,26,8530,3912
522,2017,East Midlands,G,   5-9,27,4025,8175
523,2017,East Midlands,G,   10-19,25,1825,4615
524,2017,East Midlands,G,   20-49,27,910,6428
525,2017,East Midlands,G,   50-99,18,265,4010
526,2017,East Midlands,G,   100-199,14,100,3892
527,2017,East Midlands,G,   200-249,4,20,*
528,2017,East Midlands,G,   250-499,13,40,4349
529,2017,East Midlands,G,   500 or more,250,55,40344
530,2017,East Midlands,H,   1,1,335,53
531,2017,East Midlands,H,   2-4,6,2165,494
532,2017,East Midlands,H,   5-9,4,565,499
533,2017,East Midlands,H,   10-19,5,365,504
534,2017,East Midlands,H,   20-49,7,240,704
535,2017,East Midlands,H,   50-99,5,80,592
536,2017,East Midlands,H,   100-199,5,35,578
537,2017,East Midlands,H,   200-249,1,5,120
538,2017,East Midlands,H,   250-499,7,20,1106
539,2017,East Midlands,H,   500 or more,168,15,11451
540,2017,East Midlands,I,   1,*,905,*
541,2017,East Midlands,I,   2-4,13,3635,556
542,2017,East Midlands,I,   5-9,14,1985,460
543,2017,East Midlands,I,   10-19,17,1240,488
544,2017,East Midlands,I,   20-49,16,570,490
545,2017,East Midlands,I,   50-99,8,120,335
546,2017,East Midlands,I,   100-199,6,40,*
547,2017,East Midlands,I,   200-249,*,5,*
548,2017,East Midlands,I,   250-499,*,10,127
549,2017,East Midlands,I,   500 or more,19,10,*
550,2017,East Midlands,J,   1,24,10725,1818
551,2017,East Midlands,J,   2-4,140,48715,13907
552,2017,East Midlands,J,   5-9,116,17005,15800
553,2017,East Midlands,J,   10-19,129,9385,13030
554,2017,East Midlands,J,   20-49,159,5250,19119
555,2017,East Midlands,J,   50-99,112,1620,13297
556,2017,East Midlands,J,   100-199,97,685,13309
557,2017,East Midlands,J,   200-249,30,135,3772
558,2017,East Midlands,J,   250-499,90,260,13543
559,2017,East Midlands,J,   500 or more,800,215,109530
560,2017,East Midlands,K,   1,*,55, ..
